,course_id,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year
734,1131122,IPO Fundamentals,True,20,1122,13,6,Beginner Level,1.0,Business Finance,2017
735,595258,Finance for Non-Finance: Learn Quick and Easy,True,20,4158,51,30,Beginner Level,2.5,Business Finance,2016
736,1269590,Advanced Options Trading Course,True,40,1252,2,6,Intermediate Level,0.5333333333333333,Business Finance,2017
737,611420,Statistics - Measures of Dispersion for CA / CS / CFA exams,True,20,5108,9,13,All Levels,1.0,Business Finance,2015
738,941990,Work From Home Online (Part/Full) : Trade Forex 4 Beginners,True,45,2981,23,17,Beginner Level,1.0,Business Finance,2016
739,1119920,Financial Ratios Using Excel,True,100,1223,14,29,Beginner Level,1.0,Business Finance,2017
740,256200,How To Start Trading Penny Stocks In 10 Easy Steps 2017,True,50,7750,58,15,All Levels,1.5,Business Finance,2014
741,207166,How to Copy the Best Traders on Etoro,True,90,564,9,41,All Levels,3.5,Business Finance,2014
742,390472,How To Set Up A Limited Company In The UK,False,0,2075,69,11,Beginner Level,0.7333333333333333,Business Finance,2015
743,575476,Forex trading made simple,True,100,45,4,31,All Levels,1.5,Business Finance,2015
744,460652,Financial and Business Simulation with Microsoft Excel,True,20,44,5,8,Expert Level,0.5166666666666666,Business Finance,2015
745,157336,10.  Bonds and Bond Pricing,True,20,308,4,10,All Levels,1.0,Business Finance,2014
746,65110,Professional Risk Manager (PRM) Certification: Level 3,True,50,55,5,22,All Levels,12.5,Business Finance,2013
747,987682,Stocks: Quick Method to get started Investing,False,0,718,13,7,Beginner Level,1.0,Business Finance,2017
748,835212,The Fundamentals Of Finance For Non-Finance Professionals,True,40,206,3,7,All Levels,1.5,Business Finance,2016
749,882276,Forex - Top Equity Management Strategy,True,20,18,4,13,All Levels,0.5833333333333334,Business Finance,2016
750,971110,The Truths about (in)secure Retirement,True,200,86,6,32,Intermediate Level,4.5,Business Finance,2016
751,414744,Learn How to File Taxes for Uber and Lyft Drivers,True,40,294,5,25,All Levels,2.0,Business Finance,2015
752,537286,Learn the Basics of the Wave Principle:,True,30,27,4,10,Beginner Level,1.5,Business Finance,2015
753,1123226,MasterClass-Japanese &  Heiken Ashi CandleStick Patterns,True,195,375,10,26,All Levels,3.5,Business Finance,2017
754,1170626,Start Trading Stocks Using Technical Analysis! Part 2,True,95,94,11,25,All Levels,2.0,Business Finance,2017
755,1016996,Introduction to Corporate Finance (Mergers & Acquisitions),False,0,2080,83,30,Beginner Level,1.5,Business Finance,2017
756,1046992,Forex & Financial Market Trading Tutorial- Online Strategies,False,0,3137,30,69,All Levels,9.0,Business Finance,2017
757,929526,Learn to trade Candlestick Patterns,True,20,155,23,22,Intermediate Level,1.5,Business Finance,2016
758,631276,High-Frequency Trading #2: Market Structure & Instruments,True,50,1732,11,12,All Levels,0.6833333333333333,Business Finance,2015
759,86558,The Art Of Financial Valuation With Certificate,True,20,3372,12,12,All Levels,2.0,Business Finance,2013
760,615600,Sensitivity & Scenario Analysis for CA / CFA / CPA Exams,True,20,2185,3,13,All Levels,2.0,Business Finance,2015
761,799434,"Economics:   Competition, Elasticity, a little Game Theory",True,50,1008,14,42,All Levels,6.0,Business Finance,2016
762,1088656,Quantitative Trading Analysis with Python,True,50,256,17,49,All Levels,5.5,Business Finance,2017
763,674354,Invest Like a Pro!,True,200,1173,22,15,Beginner Level,2.5,Business Finance,2015
764,1187758,Options Trading Essentials: The ULTIMATE Guides,False,0,1352,6,20,All Levels,4.0,Business Finance,2017
765,548764,ACCA FA1 Recording Financial Transactions,True,50,49,8,27,Beginner Level,3.5,Business Finance,2015
766,410576,CFA® Level 1 2014 – Portfolio Management,True,40,124,2,10,All Levels,2.0,Business Finance,2015
767,501384,Essentials Of Swing Trading Stocks,True,20,105,9,5,All Levels,1.0,Business Finance,2015
768,59725,Small Business and Managerial Accounting Training Tutorial,True,20,117,3,71,Beginner Level,3.5,Business Finance,2013
